Filename:,25FC01544-CC1_B4_C1-CH1_500.00mA_NAV_50.0C_00_LIV.csv
Test Time:,2025-04-30T07:41:42.822134+00:00
Temperature Set:,50.0,°C
Temperature Measured:,50.03,°C
PID:,1.1837,0.0070,5.0000
Thermistor ABC:,0.001111930000000000023146692896,0.0002371740000000000113657898197,7.386599999999999665742402813E-8
OPM Wavelength:,1300.00,nm
OPM Range:,3.653111E-01,W
OPM:,Thorlabs,PM100USB,1933072,1.7.0=S145C,250120306,20-JAN-2025,1,18,289
SMU:,Keithley Instruments Inc., Model 2602B, 4369333, 3.4.2
TEC:,Arroyo 5240 241126048 v1.53 148

set_current[mA],current[A],voltage[V],power[W],power[mW],rd[Ohms],dy/dx(Ith)[a.u],SE[W/A],d2y/dx2(Ith)[a.u]
75.0,0.0750061,1.0554,0.0247953273,24.7953273,2.6443389152711876,0.35860944999999944,0.3687924211999998,-0.0006122907488001598
76.0,0.0760055,1.05804,0.0251506548,25.1506548,2.639868006599769,0.3729704999999992,0.3627623848000005,0.0009164204159997858
77.0,0.0770062,1.06068,0.0255412683,25.5412683,2.6301315065752404,0.3836378499999977,0.3694846492000008,-0.001312491633599837
78.0,0.0780054,1.0633,0.0259179305,25.917930499999997,2.614738526147298,0.36394315000000077,0.3777434331999999,-0.0033189908063996523
79.0,0.0790064,1.06591,0.0262691546,26.2691546,2.6044791041792443,0.3458913500000005,0.3663267811999998,-0.0015220061391999285
80.0,0.0800058,1.06851,0.0266097132,26.609713199999998,2.596947710783101,0.36517529999999887,0.3613472368000003,-0.0008693998127999416
81.0,0.0810049,1.0711,0.0269995052,26.999505199999998,2.574613807928809,0.3651744000000008,0.36821424959999943,-0.00022314463359990566
82.0,0.0820061,1.07366,0.027340062,27.340062,2.569871506424763,0.3639441000000012,0.3721894751999988,0.0018018213807999312
83.0,0.083005,1.07624,0.0277273934,27.7273934,2.569743025697382,0.38404854999999927,0.3616955164000002,-0.0015252216224001336
84.0,0.0840063,1.0788,0.0281081591,28.108159099999998,2.549235229431105,0.3651744000000008,0.35861669520000045,-0.0043172984848000966
85.0,0.0850056,1.08134,0.0284577422,28.457742200000002,2.5351267563377724,0.34506990000000215,0.3620267783999999,-0.0005678253824001755
86.0,0.0860062,1.08387,0.0287982989,28.798298900000002,2.5348732563372423,0.3705089999999984,0.35679446880000004,0.0019153115199998596
87.0,0.0870057,1.08641,0.0291987602,29.1987602,2.5223962764627315,0.3807674999999975,0.3574152296000002,-0.0013870778911997449
88.0,0.0880043,1.08891,0.0295598339,29.559833899999997,2.500250025002452,0.35532750000000135,0.3644264920000005,-0.002391089769599762
89.0,0.0890055,1.09141,0.0299094152,29.9094152,2.4943764058985476,0.35943000000000147,0.35340377519999994,0.0003196216111999437
90.0,0.0900048,1.0939,0.0302786939,30.2786939,2.4845030993800843,0.35450604999999946,0.34588034279999974,-0.0006842759583999522
91.0,0.0910059,1.09638,0.0306184273,30.6184273,2.4746288056791403,0.33645329999999873,0.3546317303999997,-0.001865773446399876
92.0,0.0920051,1.09885,0.0309516005,30.951600499999998,2.465616404101074,0.34671185000000015,0.36091761959999974,-0.0013180267712000005
93.0,0.0930054,1.10131,0.031311851,31.311851,2.4503675551332305,0.3651753000000024,0.35203834880000034,-0.0030279633008003072
94.0,0.0940048,1.10375,0.0316819511,31.681951100000003,2.441587031570528,0.33563189999999743,0.35486774799999987,-0.003167995776000233
95.0,0.0950041,1.10619,0.0319831148,31.983114799999996,2.434634804779252,0.3241430999999988,0.3578612856000001,0.0007649760192001671
96.0,0.0960051,1.10862,0.0323302373,32.3302373,2.4393901524618795,0.34466010000000225,0.3513493720000005,0.006257906201600174
97.0,0.0970046,1.11107,0.032672435,32.672435,2.4250000000000083,0.3672260999999999,0.3480767120000004,0.005103602260800165
98.0,0.0980051,1.11347,0.0330646895,33.0646895,2.385238523852344,0.3450699499999992,0.3444723788000001,-0.002038705203199979
