wavelength[nm],power[dBm]
1567.660,-63.368
1567.670,-63.423
1567.680,-63.467
1567.690,-63.571
1567.700,-63.581
1567.710,-63.823
1567.720,-64.034
1567.730,-64.098
1567.740,-64.383
1567.750,-64.513
1567.760,-64.684
1567.770,-64.937
1567.780,-64.967
1567.790,-65.288
1567.800,-65.324
1567.810,-65.517
1567.820,-65.675
1567.830,-65.573
1567.840,-65.679
1567.850,-65.686
1567.860,-65.541
1567.870,-65.721
1567.880,-65.414
1567.890,-65.390
1567.900,-65.440
1567.910,-65.293
1567.920,-65.017
1567.930,-64.726
1567.940,-64.617
1567.950,-64.400
1567.960,-64.075
1567.970,-64.059
1567.980,-63.775
1567.990,-63.725
1568.000,-63.448
1568.010,-63.452
1568.020,-63.400
1568.030,-63.443
1568.040,-63.416
1568.050,-63.512
1568.060,-63.514
1568.070,-63.711
1568.080,-63.903
1568.090,-64.094
1568.100,-64.404
1568.110,-64.563
1568.120,-64.708
1568.130,-64.829
1568.140,-65.073
1568.150,-65.185
1568.160,-65.454
1568.170,-65.450
1568.180,-65.440
1568.190,-65.722
1568.200,-65.717
1568.210,-65.753
1568.220,-65.900
1568.230,-65.688
1568.240,-65.682
1568.250,-65.645
1568.260,-65.394
1568.270,-65.249
1568.280,-65.240
1568.290,-65.080
1568.300,-64.795
1568.310,-64.695
1568.320,-64.428
1568.330,-64.311
1568.340,-63.997
1568.350,-63.824
1568.360,-63.803
1568.370,-63.496
1568.380,-63.435
1568.390,-63.476
1568.400,-63.437
1568.410,-63.489
1568.420,-63.550
1568.430,-63.455
1568.440,-63.631
1568.450,-63.910
1568.460,-64.157
1568.470,-64.189
1568.480,-64.544
1568.490,-64.675
1568.500,-64.744
1568.510,-64.816
1568.520,-65.117
1568.530,-65.307
1568.540,-65.396
1568.550,-65.339
1568.560,-65.640
1568.570,-65.453
1568.580,-65.680
1568.590,-65.816
1568.600,-65.734
1568.610,-65.664
1568.620,-65.462
1568.630,-65.347
1568.640,-65.372
1568.650,-65.259
1568.660,-64.915
1568.670,-64.865
1568.680,-64.654
1568.690,-64.590
1568.700,-64.304
1568.710,-64.027
1568.720,-64.079
1568.730,-63.710
1568.740,-63.714
1568.750,-63.641
